Measure,Port Name,Year of Date,Value
Bus Passengers,Tornillo,1998,0
Bus Passengers,Tecate,1998,6642
Bus Passengers,Sasabe,1998,0
Bus Passengers,Santa Teresa,1998,841
Bus Passengers,San Ysidro,1998,890614
Bus Passengers,San Luis,1998,739
Bus Passengers,Roma,1998,87528
Bus Passengers,Rio Grande City,1998,0
Bus Passengers,Progreso,1998,14065
Bus Passengers,Presidio,1998,4230
Bus Passengers,Otay Mesa,1998,235288
Bus Passengers,Nogales,1998,34470
Bus Passengers,Naco,1998,1400
Bus Passengers,Lukeville,1998,17796
Bus Passengers,Laredo,1998,367691
Bus Passengers,Hidalgo,1998,1515376
Bus Passengers,El Paso,1998,118213
Bus Passengers,Eagle Pass,1998,3767
Bus Passengers,Douglas,1998,3650
Bus Passengers,Del Rio,1998,6802
Bus Passengers,Columbus,1998,618
Bus Passengers,Calexico East,1998,20278
Bus Passengers,Calexico,1998,37540
Bus Passengers,Brownsville,1998,266924
Bus Passengers,Andrade,1998,4340
Bus Passengers,Tornillo,1997,0
Bus Passengers,Tecate,1997,11694
Bus Passengers,Sasabe,1997,0
Bus Passengers,Santa Teresa,1997,0
Bus Passengers,San Ysidro,1997,873411
Bus Passengers,San Luis,1997,2098
Bus Passengers,Roma,1997,80028
Bus Passengers,Rio Grande City,1997,0
Bus Passengers,Progreso,1997,11623
Bus Passengers,Presidio,1997,3808
Bus Passengers,Otay Mesa,1997,196190
Bus Passengers,Nogales,1997,11477
Bus Passengers,Naco,1997,0
Bus Passengers,Lukeville,1997,16302
Bus Passengers,Laredo,1997,269766
Bus Passengers,Hidalgo,1997,964975
Bus Passengers,El Paso,1997,106272
Bus Passengers,Eagle Pass,1997,3918
Bus Passengers,Douglas,1997,3651
Bus Passengers,Del Rio,1997,7042
Bus Passengers,Columbus,1997,780
Bus Passengers,Calexico East,1997,15119
Bus Passengers,Calexico,1997,21143
Bus Passengers,Brownsville,1997,170295
Bus Passengers,Andrade,1997,3074
Bus Passengers,Tornillo,1996,0
Bus Passengers,Tecate,1996,12859
Bus Passengers,Sasabe,1996,0
Bus Passengers,Santa Teresa,1996,0
Bus Passengers,San Ysidro,1996,0
Bus Passengers,San Luis,1996,2342
Bus Passengers,Roma,1996,74506
Bus Passengers,Rio Grande City,1996,0
Bus Passengers,Progreso,1996,8968
Bus Passengers,Presidio,1996,3808
Bus Passengers,Otay Mesa,1996,216287
Bus Passengers,Nogales,1996,8637
Bus Passengers,Naco,1996,25
Bus Passengers,Lukeville,1996,16341
Bus Passengers,Laredo,1996,531402
Bus Passengers,Hidalgo,1996,804442
Bus Passengers,El Paso,1996,105757
Bus Passengers,Eagle Pass,1996,4477
Bus Passengers,Douglas,1996,3433
Bus Passengers,Del Rio,1996,7062
Bus Passengers,Columbus,1996,281
Bus Passengers,Calexico East,1996,0
Bus Passengers,Calexico,1996,30151
Bus Passengers,Brownsville,1996,111400
Bus Passengers,Andrade,1996,1519
Buses,Tecate,2023,7
Buses,Santa Teresa,2023,439
Buses,San Ysidro,2023,25250
Buses,San Luis,2023,73
Buses,Roma,2023,333
Buses,Presidio,2023,874
Buses,Otay Mesa,2023,102
Buses,Nogales,2023,5771
Buses,Lukeville,2023,397
Buses,Laredo,2023,21383
Buses,Hidalgo,2023,8683
Buses,El Paso,2023,7466
Buses,Eagle Pass,2023,4131
Buses,Douglas,2023,121
Buses,Columbus,2023,562
Buses,Calexico East,2023,678
Buses,Brownsville,2023,1179
Buses,Santa Teresa,2022,549
Buses,San Ysidro,2022,13219
Buses,San Luis,2022,95
Buses,Roma,2022,228
Buses,Presidio,2022,1017
Buses,Otay Mesa,2022,3644
Buses,Nogales,2022,7136
Buses,Lukeville,2022,599
Buses,Laredo,2022,28645
Buses,Hidalgo,2022,11068
Buses,El Paso,2022,11019
Buses,Eagle Pass,2022,5029
Buses,Douglas,2022,168
Buses,Columbus,2022,195
Buses,Calexico East,2022,858
Buses,Brownsville,2022,2297
Buses,Santa Teresa,2021,134
Buses,San Ysidro,2021,30022
Buses,San Luis,2021,31
Buses,Roma,2021,150
Buses,Presidio,2021,666
Buses,Otay Mesa,2021,7714
Buses,Nogales,2021,4898
Buses,Lukeville,2021,562
Buses,Laredo,2021,27790
Buses,Hidalgo,2021,7590
Buses,El Paso,2021,8924
Buses,Eagle Pass,2021,4165
Buses,Douglas,2021,190
Buses,Calexico East,2021,64
Buses,Brownsville,2021,2705
Buses,Santa Teresa,2020,50
Buses,San Ysidro,2020,29878
Buses,San Luis,2020,35
Buses,Roma,2020,129
Buses,Presidio,2020,653
Buses,Otay Mesa,2020,6475
Buses,Nogales,2020,4733
Buses,Naco,2020,2
Buses,Lukeville,2020,625
Buses,Laredo,2020,23956
Buses,Hidalgo,2020,7728
Buses,El Paso,2020,8916
Buses,Eagle Pass,2020,2531
Buses,Douglas,2020,325
Buses,Columbus,2020,118
Buses,Calexico East,2020,248
Buses,Brownsville,2020,3116
Buses,Santa Teresa,2019,240
Buses,San Ysidro,2019,38100
Buses,San Luis,2019,82
Buses,Roma,2019,512
Buses,Presidio,2019,1537
Buses,Otay Mesa,2019,7506
Buses,Nogales,2019,9720
Buses,Naco,2019,1
Buses,Lukeville,2019,683
Buses,Laredo,2019,38575
Buses,Hidalgo,2019,20992
Buses,El Paso,2019,19032
Buses,Eagle Pass,2019,3307
Buses,Douglas,2019,1800
Buses,Del Rio,2019,2
Buses,Columbus,2019,1371
